pick_id,logged_date,match_date,league_code,league_name,home_team,away_team,sport,metric,scope,team,direction,line,confidence,label,status,actual_value,result,settled_date
Falkirk|Hearts|15/09/2026|goals|Over,2026-09-15,15/09/2026,SC0,Scottish Premiership,Falkirk,Hearts,,goals,,,Over,1.5,0.942,,pending,,,
Hibernian|Kilmarnock|15/09/2026|cards|Over,2026-09-15,15/09/2026,SC0,Scottish Premiership,Hibernian,Kilmarnock,,cards,,,Over,2.5,0.969,,pending,,,
Falkirk|Hearts|15/09/2026|cards|Over,2026-09-15,15/09/2026,SC0,Scottish Premiership,Falkirk,Hearts,,cards,,,Over,2.5,0.945,,pending,,,
Falkirk|Hearts|15/09/2026|first_half_goals|Over,2026-09-15,15/09/2026,SC0,Scottish Premiership,Falkirk,Hearts,,first_half_goals,,,Over,0.5,0.967,,pending,,,
Motherwell|Aberdeen|15/09/2026|team_win|Motherwell,2026-09-15,15/09/2026,SC0,Scottish Premiership,Motherwell,Aberdeen,,team_win,,,Motherwell,,0.816,,pending,,,
Elche|Real Madrid|15/09/2026|cards|Over,2026-09-15,15/09/2026,SP1,La Liga,Elche,Real Madrid,,cards,,,Over,2.5,0.959,,pending,,,
Vallecano|Espanol|15/09/2026|cards|Over,2026-09-15,15/09/2026,SP1,La Liga,Vallecano,Espanol,,cards,,,Over,2.5,0.957,,pending,,,
Alaves|Valencia|15/09/2026|second_half_goals|Over,2026-09-15,15/09/2026,SP1,La Liga,Alaves,Valencia,,second_half_goals,,,Over,0.5,0.916,,pending,,,
Middlesbrough|Millwall|15/09/2026|goals|Over,2026-09-15,15/09/2026,E1,Championship,Middlesbrough,Millwall,,goals,,,Over,1.5,0.972,,pending,,,
Bristol City|Lincoln|15/09/2026|corners|Over,2026-09-15,15/09/2026,E1,Championship,Bristol City,Lincoln,,corners,,,Over,8.5,0.925,,pending,,,
Middlesbrough|Millwall|15/09/2026|corners|Over,2026-09-15,15/09/2026,E1,Championship,Middlesbrough,Millwall,,corners,,,Over,8.5,0.919,,pending,,,
Middlesbrough|Millwall|15/09/2026|second_half_goals|Over,2026-09-15,15/09/2026,E1,Championship,Middlesbrough,Millwall,,second_half_goals,,,Over,0.5,0.99,,pending,,,
Falkirk|Hearts|15/09/2026|corners|Over,2026-09-15,15/09/2026,SC0,Scottish Premiership,Falkirk,Hearts,,corners,,,Over,8.5,0.896,,pending,,,
Vallecano|Espanol|15/09/2026|corners|Over,2026-09-15,15/09/2026,SP1,La Liga,Vallecano,Espanol,,corners,,,Over,8.5,0.889,,pending,,,
Vallecano|Espanol|15/09/2026|first_half_goals|Over,2026-09-15,15/09/2026,SP1,La Liga,Vallecano,Espanol,,first_half_goals,,,Over,0.5,0.859,,pending,,,
Middlesbrough|Millwall|15/09/2026|first_half_goals|Over,2026-09-15,15/09/2026,E1,Championship,Middlesbrough,Millwall,,first_half_goals,,,Over,0.5,0.851,,pending,,,
Hibernian|Kilmarnock|15/09/2026|second_half_goals|Over,2026-09-15,15/09/2026,SC0,Scottish Premiership,Hibernian,Kilmarnock,,second_half_goals,,,Over,0.5,0.852,,pending,,,
Levante|Ath Bilbao|16/09/2026|goals|Over,2026-09-16,16/09/2026,SP1,La Liga,Levante,Ath Bilbao,,goals,,,Over,1.5,0.968,,pending,,,
Ath Madrid|Osasuna|16/09/2026|goals|Over,2026-09-16,16/09/2026,SP1,La Liga,Ath Madrid,Osasuna,,goals,,,Over,1.5,0.909,,pending,,,
Levante|Ath Bilbao|16/09/2026|corners|Over,2026-09-16,16/09/2026,SP1,La Liga,Levante,Ath Bilbao,,corners,,,Over,8.5,0.85,,pending,,,
Levante|Ath Bilbao|16/09/2026|first_half_goals|Over,2026-09-16,16/09/2026,SP1,La Liga,Levante,Ath Bilbao,,first_half_goals,,,Over,0.5,0.957,,pending,,,
Ath Madrid|Osasuna|16/09/2026|second_half_goals|Over,2026-09-16,16/09/2026,SP1,La Liga,Ath Madrid,Osasuna,,second_half_goals,,,Over,0.5,0.972,,pending,,,
Levante|Ath Bilbao|16/09/2026|second_half_goals|Over,2026-09-16,16/09/2026,SP1,La Liga,Levante,Ath Bilbao,,second_half_goals,,,Over,0.5,0.927,,pending,,,
AFC Wimbledon|Milton Keynes Dons|17/09/2026|corners|Over,2026-09-17,17/09/2026,E2,League One,AFC Wimbledon,Milton Keynes Dons,,corners,,,Over,8.5,0.892,,pending,,,
Betis|Getafe|17/09/2026|cards|Over,2026-09-17,17/09/2026,SP1,La Liga,Betis,Getafe,,cards,,,Over,2.5,0.997,,pending,,,
AFC Wimbledon|Milton Keynes Dons|17/09/2026|second_half_goals|Over,2026-09-17,17/09/2026,E2,League One,AFC Wimbledon,Milton Keynes Dons,,second_half_goals,,,Over,0.5,0.874,,pending,,,
football|Betis|Getafe|17/09/2026|cards|match|Over,2026-09-17,17/09/2026,SP1,La Liga,Betis,Getafe,football,cards,match,,Over,2.5,0.997,Betis v Getafe - Over 2.5 Cards,settled,0,miss,2026-09-18
football|Betis|Getafe|17/09/2026|cards|away|Over,2026-09-17,17/09/2026,SP1,La Liga,Betis,Getafe,football,cards,away,Getafe,Over,0.5,0.997,Getafe - Over 0.5 Cards,settled,0,miss,2026-09-18
football|Betis|Getafe|17/09/2026|cards|home|Over,2026-09-17,17/09/2026,SP1,La Liga,Betis,Getafe,football,cards,home,Betis,Over,0.5,0.984,Betis - Over 0.5 Cards,settled,0,miss,2026-09-18
football|AFC Wimbledon|Milton Keynes Dons|17/09/2026|corners|away|Over,2026-09-17,17/09/2026,E2,League One,AFC Wimbledon,Milton Keynes Dons,football,corners,away,Milton Keynes Dons,Over,2.5,0.97,Milton Keynes Dons - Over 2.5 Corners,settled,6,hit,2026-09-18
football|AFC Wimbledon|Milton Keynes Dons|17/09/2026|cards|away|Over,2026-09-17,17/09/2026,E2,League One,AFC Wimbledon,Milton Keynes Dons,football,cards,away,Milton Keynes Dons,Over,0.5,0.958,Milton Keynes Dons - Over 0.5 Cards,settled,0,miss,2026-09-18
football|AFC Wimbledon|Milton Keynes Dons|17/09/2026|corners|home|Over,2026-09-17,17/09/2026,E2,League One,AFC Wimbledon,Milton Keynes Dons,football,corners,home,AFC Wimbledon,Over,2.5,0.93,AFC Wimbledon - Over 2.5 Corners,settled,5,hit,2026-09-18
football|Bristol City|Watford|18/09/2026|cards|home|Over,2026-09-18,18/09/2026,E1,Championship,Bristol City,Watford,football,cards,home,Bristol City,Over,0.5,0.969,Bristol City - Over 0.5 Cards,pending,,,
football|Bristol City|Watford|18/09/2026|cards|match|Over,2026-09-18,18/09/2026,E1,Championship,Bristol City,Watford,football,cards,match,,Over,2.5,0.963,Bristol City v Watford - Over 2.5 Cards,pending,,,
football|Bristol City|Watford|18/09/2026|corners|home|Over,2026-09-18,18/09/2026,E1,Championship,Bristol City,Watford,football,corners,home,Bristol City,Over,2.5,0.962,Bristol City - Over 2.5 Corners,pending,,,
football|Bristol City|Watford|18/09/2026|cards|away|Over,2026-09-18,18/09/2026,E1,Championship,Bristol City,Watford,football,cards,away,Watford,Over,0.5,0.961,Watford - Over 0.5 Cards,pending,,,
football|Espanol|Elche|18/09/2026|cards|home|Over,2026-09-18,18/09/2026,SP1,La Liga,Espanol,Elche,football,cards,home,Espanol,Over,0.5,0.947,Espanol - Over 0.5 Cards,pending,,,
football|Brentford|Chelsea|18/09/2026|cards|away|Over,2026-09-18,18/09/2026,E0,Premier League,Brentford,Chelsea,football,cards,away,Chelsea,Over,0.5,0.937,Chelsea - Over 0.5 Cards,pending,,,
football|Espanol|Elche|18/09/2026|cards|away|Over,2026-09-18,18/09/2026,SP1,La Liga,Espanol,Elche,football,cards,away,Elche,Over,0.5,0.926,Elche - Over 0.5 Cards,pending,,,
football|Espanol|Elche|18/09/2026|cards|match|Over,2026-09-18,18/09/2026,SP1,La Liga,Espanol,Elche,football,cards,match,,Over,2.5,0.914,Espanol v Elche - Over 2.5 Cards,pending,,,
football|Bristol City|Watford|18/09/2026|corners|away|Over,2026-09-18,18/09/2026,E1,Championship,Bristol City,Watford,football,corners,away,Watford,Over,2.5,0.913,Watford - Over 2.5 Corners,pending,,,
football|Brentford|Chelsea|18/09/2026|corners|home|Over,2026-09-18,18/09/2026,E0,Premier League,Brentford,Chelsea,football,corners,home,Brentford,Over,2.5,0.91,Brentford - Over 2.5 Corners,pending,,,
football|Bayern Munich|Union Berlin|18/09/2026|corners|home|Over,2026-09-18,18/09/2026,D1,Bundesliga,Bayern Munich,Union Berlin,football,corners,home,Bayern Munich,Over,2.5,1.0,Bayern Munich - Over 2.5 Corners,pending,,,
football|Bayern Munich|Union Berlin|18/09/2026|goals|home|Over,2026-09-18,18/09/2026,D1,Bundesliga,Bayern Munich,Union Berlin,football,goals,home,Bayern Munich,Over,0.5,0.998,Bayern Munich - Over 0.5 Goals,pending,,,
football|Bayern Munich|Union Berlin|18/09/2026|goals|match|Over,2026-09-18,18/09/2026,D1,Bundesliga,Bayern Munich,Union Berlin,football,goals,match,,Over,1.5,0.994,Bayern Munich v Union Berlin - Over 1.5 Goals,pending,,,
football|Bayern Munich|Union Berlin|18/09/2026|corners|match|Over,2026-09-18,18/09/2026,D1,Bundesliga,Bayern Munich,Union Berlin,football,corners,match,,Over,8.5,0.984,Bayern Munich v Union Berlin - Over 8.5 Corners,pending,,,
football|Bayern Munich|Union Berlin|18/09/2026|second_half_goals|match|Over,2026-09-18,18/09/2026,D1,Bundesliga,Bayern Munich,Union Berlin,football,second_half_goals,match,,Over,0.5,0.981,Bayern Munich v Union Berlin - Over 0.5 2nd-Half Goals,pending,,,
football|Bayern Munich|Union Berlin|18/09/2026|team_win|home|Bayern Munich,2026-09-18,18/09/2026,D1,Bundesliga,Bayern Munich,Union Berlin,football,team_win,home,Bayern Munich,Bayern Munich,,0.971,Bayern Munich to win,pending,,,
football|Bayern Munich|Union Berlin|18/09/2026|first_half_goals|match|Over,2026-09-18,18/09/2026,D1,Bundesliga,Bayern Munich,Union Berlin,football,first_half_goals,match,,Over,0.5,0.967,Bayern Munich v Union Berlin - Over 0.5 1st-Half Goals,pending,,,
football|Brentford|Chelsea|18/09/2026|goals|home|Over,2026-09-18,18/09/2026,E0,Premier League,Brentford,Chelsea,football,goals,home,Brentford,Over,0.5,0.891,Brentford - Over 0.5 Goals,pending,,,
