Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
F1,26/10/2025,16:15,Angers,Lorient,2,0,H,1,0,H,,7,23,4,4,1,6,1,0,0,0,,,F1,2526
F1,26/10/2025,16:15,Auxerre,Le Havre,0,1,A,0,0,D,,14,9,3,4,13,5,2,2,0,0,,,F1,2526
F1,26/10/2025,16:15,Rennes,Nice,1,2,A,0,2,A,,19,8,7,3,7,3,5,2,0,0,,,F1,2526
F1,26/10/2025,19:45,Lyon,Strasbourg,2,1,H,1,1,D,,8,7,3,2,4,2,0,4,0,1,,,F1,2526
F1,29/10/2025,18:00,Le Havre,Brest,1,0,H,0,0,D,,13,8,3,2,5,1,1,3,0,0,,,F1,2526
F1,29/10/2025,18:00,Lorient,Paris SG,1,1,D,0,0,D,,5,15,2,8,0,8,0,2,0,0,,,F1,2526
F1,29/10/2025,18:00,Metz,Lens,2,0,H,0,0,D,,16,10,7,2,2,5,3,2,1,0,,,F1,2526
F1,29/10/2025,18:00,Nice,Lille,2,0,H,1,0,H,,8,21,4,4,2,13,3,3,0,0,,,F1,2526
F1,29/10/2025,20:05,Marseille,Angers,2,2,D,0,1,A,,11,12,6,6,1,5,2,1,0,0,,,F1,2526
F1,29/10/2025,20:05,Nantes,Monaco,3,5,A,2,2,D,,18,19,5,9,1,3,3,5,0,0,,,F1,2526
F1,29/10/2025,20:05,Paris FC,Lyon,3,3,D,0,1,A,,11,7,3,4,4,2,6,2,1,1,,,F1,2526
F1,29/10/2025,20:05,Strasbourg,Auxerre,3,0,H,0,0,D,,18,6,9,1,4,3,1,1,0,0,,,F1,2526
F1,29/10/2025,20:05,Toulouse,Rennes,2,2,D,0,0,D,,15,11,4,5,5,8,2,3,0,0,,,F1,2526
F1,01/11/2025,16:00,Paris SG,Nice,1,0,H,0,0,D,,28,5,8,2,11,1,3,1,0,0,,,F1,2526
