Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
SC0,30/11/2025,12:00,Hibernian,Celtic,1,2,A,0,2,A,N Walsh,9,6,4,2,4,3,3,3,0,0,,,SC0,2526
SC0,30/11/2025,14:00,Rangers,Falkirk,0,0,D,0,0,D,S McLean,14,5,4,2,4,5,0,3,0,0,,,SC0,2526
SC0,30/11/2025,15:00,Livingston,Aberdeen,0,1,A,0,0,D,D Robertson,15,14,3,4,7,4,1,1,0,0,,,SC0,2526
SC0,03/12/2025,19:45,Aberdeen,St Mirren,3,3,D,0,0,D,S McLean,18,15,8,4,8,6,0,1,0,0,,,SC0,2526
SC0,03/12/2025,19:45,Celtic,Dundee,1,0,H,1,0,H,D Nicolson,17,4,6,3,6,0,3,0,0,0,,,SC0,2526
SC0,03/12/2025,19:45,Dundee United,Rangers,2,2,D,1,1,D,D Dickinson,13,32,6,10,8,9,3,3,0,0,,,SC0,2526
SC0,03/12/2025,19:45,Falkirk,Motherwell,0,0,D,0,0,D,C Graham,14,7,1,1,6,3,2,0,0,0,,,SC0,2526
SC0,03/12/2025,19:45,Hearts,Kilmarnock,1,1,D,0,0,D,J Beaton,17,11,3,5,9,1,1,2,0,0,,,SC0,2526
SC0,06/12/2025,15:00,Dundee,Aberdeen,1,3,A,0,2,A,G Irvine,15,21,2,8,6,4,2,1,0,0,,,SC0,2526
SC0,06/12/2025,15:00,Hibernian,Falkirk,3,0,H,2,0,H,M MacDermid,10,8,5,4,10,4,1,4,0,0,,,SC0,2526
SC0,06/12/2025,15:00,Motherwell,Livingston,3,0,H,1,0,H,R Lee,14,12,7,1,4,5,2,3,0,0,,,SC0,2526
SC0,06/12/2025,15:00,St Mirren,Dundee United,2,0,H,1,0,H,N Walsh,13,13,5,3,3,2,2,2,0,0,,,SC0,2526
SC0,06/12/2025,20:00,Kilmarnock,Rangers,0,3,A,0,1,A,K Clancy,15,11,3,6,7,2,2,2,0,0,,,SC0,2526
SC0,07/12/2025,15:00,Celtic,Hearts,1,2,A,0,1,A,D Robertson,15,8,5,3,5,3,1,3,0,0,,,SC0,2526
SC0,13/12/2025,15:00,Dundee United,Motherwell,0,0,D,0,0,D,D Nicolson,9,13,1,3,1,4,3,3,0,0,,,SC0,2526
SC0,13/12/2025,15:00,Livingston,Dundee,2,2,D,0,2,A,D McFarlane,15,6,6,3,7,0,2,2,1,0,,,SC0,2526
SC0,13/12/2025,20:00,Falkirk,Hearts,0,2,A,0,1,A,C Scott,6,13,1,5,3,7,2,2,0,0,,,SC0,2526
SC0,14/12/2025,15:00,Aberdeen,Kilmarnock,2,1,H,0,1,A,R Hardie,21,8,8,5,9,3,2,5,0,0,,,SC0,2526
SC0,15/12/2025,19:45,Rangers,Hibernian,1,0,H,1,0,H,D Robertson,19,8,8,3,5,5,1,3,0,0,,,SC0,2526
SC0,17/12/2025,20:00,Dundee United,Celtic,2,1,H,0,1,A,J Beaton,16,17,7,2,7,6,2,1,0,0,,,SC0,2526
SC0,20/12/2025,15:00,Dundee United,Hibernian,1,1,D,1,1,D,S McLean,12,23,2,5,5,7,2,2,0,0,,,SC0,2526
SC0,20/12/2025,15:00,Kilmarnock,Falkirk,0,1,A,0,0,D,R Lee,15,10,3,4,2,2,2,1,0,0,,,SC0,2526
